"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 18 15:03:24 BRT 2023","Tue Jul 18 15:03:54 BRT 2023","30230","","Validar o endpoint /quote/{id}","","Validar o endpoint /quote/{id}","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 15:01:17 BRT 2023","Tue Jul 18 15:01:47 BRT 2023","30199","","Validar o endpoint /book/{id}/chapter","","Validar o endpoint /book/{id}/chapter","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 14:59:42 BRT 2023","Tue Jul 18 15:00:12 BRT 2023","30225","","Validar o endpoint /movie","","Validar o endpoint /movie","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 14:57:37 BRT 2023","Tue Jul 18 14:58:07 BRT 2023","30267","","Validar o endpoint /book Sem token de autorização","","Validar o endpoint /book Sem token de autorização","Validar header","Validar header",""
"broken","Tue Jul 18 14:59:10 BRT 2023","Tue Jul 18 14:59:41 BRT 2023","30213","","Validar o endpoint /character","","Validar o endpoint /character","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 14:58:39 BRT 2023","Tue Jul 18 14:59:09 BRT 2023","30223","","Validar o endpoint /chapter","","Validar o endpoint /chapter","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 15:02:52 BRT 2023","Tue Jul 18 15:03:22 BRT 2023","30216","","Validar o endpoint /character/{id}","","Validar o endpoint /character/{id}","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 15:02:20 BRT 2023","Tue Jul 18 15:02:51 BRT 2023","30222","","Validar o endpoint /movie/{id}/quote","","Validar o endpoint /movie/{id}/quote","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 15:00:14 BRT 2023","Tue Jul 18 15:00:44 BRT 2023","30185","","Validar o endpoint /quote","","Validar o endpoint /quote","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 15:01:49 BRT 2023","Tue Jul 18 15:02:19 BRT 2023","30189","","Validar o endpoint /movie/{id}","","Validar o endpoint /movie/{id}","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 15:00:45 BRT 2023","Tue Jul 18 15:01:16 BRT 2023","30223","","Validar o endpoint /book/{id}","","Validar o endpoint /book/{id}","Validar o método GET","Validar o método GET",""
"broken","Tue Jul 18 14:58:07 BRT 2023","Tue Jul 18 14:58:37 BRT 2023","30169","","Validar o endpoint /book Com token de autorização","","Validar o endpoint /book Com token de autorização","Validar header","Validar header",""
"broken","Tue Jul 18 15:03:55 BRT 2023","Tue Jul 18 15:04:26 BRT 2023","30230","","Validar o endpoint /chapter/{id}","","Validar o endpoint /chapter/{id}","Validar o método GET","Validar o método GET",""
